idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"162","http://localhost:8080/home/","2024-12-7","19:44:19","669","5678","192.5","80.89999999850988","18.30000000447035","0","80.89999999850988","0","-1",""
"163","http://localhost:8080/home/","2024-12-7","19:44:25","650","5660","185.7999999821186","79.09999999403954","15.299999997019768","0","79.09999999403954","0","-1",""
"164","http://localhost:8080/home/","2024-12-7","19:44:32","647","5657","184.7000000104308","77.80000000447035","15.700000002980232","0","77.80000000447035","0","-1",""
"165","http://localhost:8080/home/","2024-12-7","19:44:38","646","5655","177.69999998807907","74.69999999552965","15.399999998509884","0","74.69999999552965","0","-1",""
"166","http://localhost:8080/home/","2024-12-7","19:44:44","645","5656","198.99999999254942","84.69999999552965","16.69999999552965","0","84.69999999552965","0","-1",""
"167","http://localhost:8080/home/","2024-12-7","19:44:51","659","5669","230.7999999821186","94.09999999403954","29.69999999552965","0","94.09999999403954","0","-1",""
"168","http://localhost:8080/home/","2024-12-7","19:44:57","642","5651","193.50000001490116","82.30000000447035","15.200000002980232","0","82.30000000447035","0","-1",""
"169","http://localhost:8080/home/","2024-12-7","19:45:03","650","5659","187.39999999850988","79.5","16.099999994039536","0","79.5","0","-1",""
"170","http://localhost:8080/home/","2024-12-7","19:45:09","651","5661","197.79999999701977","83.5","17.200000002980232","0","83.5","0","-1",""
"171","http://localhost:8080/home/","2024-12-7","19:45:16","654","5665","200.89999999850988","84.5","19.099999994039536","0","84.5","0","-1",""
"172","http://localhost:8080/home/","2024-12-7","19:45:22","648","5660","195.30000000447035","82.60000000149012","16","0","82.60000000149012","0","-1",""
"173","http://localhost:8080/home/","2024-12-7","19:45:28","651","5661","196.7999999821186","82.59999999403954","18.5","0","82.59999999403954","0","-1",""
"174","http://localhost:8080/home/","2024-12-7","19:45:35","647","5658","190.30000001192093","81.30000000447035","14.900000005960464","0","81.30000000447035","0","-1",""
"175","http://localhost:8080/home/","2024-12-7","19:45:41","649","5655","198.40000000596046","83.20000000298023","18.200000002980232","0","83.20000000298023","0","-1",""
"176","http://localhost:8080/home/","2024-12-7","19:45:47","644","5654","204.20000000298023","86.70000000298023","17.200000002980232","0","86.70000000298023","0","-1",""
"177","http://localhost:8080/home/","2024-12-7","19:45:53","650","5660","198.10000000149012","84.10000000149012","17.19999999552965","0","84.10000000149012","0","-1",""
"178","http://localhost:8080/home/","2024-12-7","19:46:00","645","5655","189.59999999403954","80.79999999701977","15.799999997019768","0","80.79999999701977","0","-1",""
"179","http://localhost:8080/home/","2024-12-7","19:46:06","645","5654","188.3999999910593","80.19999999552965","15.799999997019768","0","80.19999999552965","0","-1",""
"180","http://localhost:8080/home/","2024-12-7","19:46:12","644","5656","236.00000000745058","95.70000000298023","15.100000001490116","0","95.70000000298023","0","-1",""
"181","http://localhost:8080/home/","2024-12-7","19:46:19","647","5657","196.19999999552965","82.29999999701977","18.600000001490116","0","82.29999999701977","0","-1",""
"182","http://localhost:8080/home/","2024-12-7","19:46:25","647","5658","192.7000000178814","81.90000000596046","16.200000002980232","0","81.90000000596046","0","-1",""
"183","http://localhost:8080/home/","2024-12-7","19:46:31","646","5657","186.20000000298023","79.10000000149012","16.400000005960464","0","79.10000000149012","0","-1",""
"184","http://localhost:8080/home/","2024-12-7","19:46:37","651","5662","204.79999999701977","86.89999999850988","17.200000002980232","0","86.89999999850988","0","-1",""
"185","http://localhost:8080/home/","2024-12-7","19:46:44","645","5657","187.79999999701977","80.5","13.899999998509884","0","80.5","0","-1",""
"186","http://localhost:8080/home/","2024-12-7","19:46:50","648","5660","199.5","84.39999999850988","17.200000002980232","0","84.39999999850988","0","-1",""
"187","http://localhost:8080/home/","2024-12-7","19:46:56","647","5655","180.40000000596046","76.20000000298023","16.299999997019768","0","76.20000000298023","0","-1",""
"188","http://localhost:8080/home/","2024-12-7","19:47:03","643","5651","176.90000000596046","74.70000000298023","14.700000002980232","0","74.70000000298023","0","-1",""
"189","http://localhost:8080/home/","2024-12-7","19:47:09","650","5659","191.49999999254942","81.29999999701977","15.899999998509884","0","81.29999999701977","0","-1",""
"190","http://localhost:8080/home/","2024-12-7","19:47:15","644","5654","184.40000001341105","78.30000000447035","14.600000001490116","0","78.30000000447035","0","-1",""
"191","http://localhost:8080/home/","2024-12-7","19:47:21","654","5665","206.19999999552965","86.79999999701977","19","0","86.79999999701977","0","-1",""
"192","http://localhost:8080/home/","2024-12-7","19:47:28","646","5655","174.49999998509884","74.09999999403954","14.299999997019768","0","74.09999999403954","0","-1",""
"193","http://localhost:8080/home/","2024-12-7","19:47:34","644","5655","190.29999999701977","80.79999999701977","16.600000001490116","0","80.79999999701977","0","-1",""
"194","http://localhost:8080/home/","2024-12-7","19:47:40","643","5652","194.5","82.5","15.899999998509884","0","82.5","0","-1",""
"195","http://localhost:8080/home/","2024-12-7","19:47:47","648","5663","179.60000000149012","76.5","13.200000002980232","0","76.5","0","-1",""
"196","http://localhost:8080/home/","2024-12-7","19:47:53","655","5662","206.89999999850988","87","19.19999999552965","0","87","0","-1",""
"197","http://localhost:8080/home/","2024-12-7","19:47:59","648","5658","206.29999999701977","87.5","17.600000001490116","0","87.5","0","-1",""
"198","http://localhost:8080/home/","2024-12-7","19:48:06","646","5656","177.50000001490116","75.30000000447035","14","0","75.30000000447035","0","-1",""
"199","http://localhost:8080/home/","2024-12-7","19:48:12","652","5663","201.80000000447035","85.60000000149012","17.399999998509884","0","85.60000000149012","0","-1",""
"200","http://localhost:8080/home/","2024-12-7","19:48:18","649","5661","181.39999999850988","77.5","14.399999998509884","0","77.5","0","-1",""
"201","http://localhost:8080/home/","2024-12-7","19:48:25","649","5658","194.40000001341105","81.90000000596046","18.100000001490116","0","81.90000000596046","0","-1",""
"202","http://localhost:8080/home/","2024-12-7","19:48:31","651","5661","196.19999999552965","82.79999999701977","16.399999998509884","0","82.79999999701977","0","-1",""
"203","http://localhost:8080/home/","2024-12-7","19:48:37","648","5658","186.60000000149012","79.60000000149012","15.399999998509884","0","79.60000000149012","0","-1",""
"204","http://localhost:8080/home/","2024-12-7","19:48:43","647","5655","185.69999999552965","79","15.399999998509884","0","79","0","-1",""
"205","http://localhost:8080/home/","2024-12-7","19:48:50","650","5658","200.90000000596046","85.20000000298023","17.900000005960464","0","85.20000000298023","0","-1",""
"206","http://localhost:8080/home/","2024-12-7","19:48:56","649","5659","196.29999999701977","82.39999999850988","18.100000001490116","0","82.39999999850988","0","-1",""
"207","http://localhost:8080/home/","2024-12-7","19:49:02","643","5654","179.6000000089407","77.20000000298023","13","0","77.20000000298023","0","-1",""
"208","http://localhost:8080/home/","2024-12-7","19:49:09","643","5654","202.1000000089407","87.20000000298023","14.600000001490116","0","87.20000000298023","0","-1",""
"209","http://localhost:8080/home/","2024-12-7","19:49:15","650","5659","186.2999999895692","79.19999999552965","16","0","79.19999999552965","0","-1",""
"210","http://localhost:8080/home/","2024-12-7","19:49:21","656","5664","266.09999998658895","107.19999999552965","19.69999999552965","0","107.19999999552965","0","-1",""
"211","http://localhost:8080/home/","2024-12-7","19:49:27","643","5655","189","80.60000000149012","14.600000001490116","0","80.60000000149012","0","-1",""
"212","http://localhost:8080/home/","2024-12-7","19:49:34","649","5659","194.3999999910593","82.79999999701977","15.699999995529652","0","82.79999999701977","0","-1",""
"213","http://localhost:8080/home/","2024-12-7","19:49:40","649","5660","197.69999998807907","83.19999999552965","17.599999994039536","0","83.19999999552965","0","-1",""
"214","http://localhost:8080/home/","2024-12-7","19:49:46","646","5653","203.2000000104308","86.70000000298023","16.30000000447035","0","86.70000000298023","0","-1",""
"215","http://localhost:8080/home/","2024-12-7","19:49:53","648","5659","198.80000000447035","83.70000000298023","17.200000002980232","0","83.70000000298023","0","-1",""
"216","http://localhost:8080/home/","2024-12-7","19:49:59","653","5662","194.30000000447035","82.70000000298023","16.100000001490116","0","82.70000000298023","0","-1",""
"217","http://localhost:8080/home/","2024-12-7","19:50:05","648","5657","194.39999999850988","82","16.399999998509884","0","82","0","-1",""
