site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"
"http://localhost:8080/","2024-11-28","19:08:51","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:52","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:53","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:53","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:54","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:55","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:55","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:56","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:57","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:58","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:58","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
