name,cpu_percent,mem_usage,mem_limit,mem_percent
1735060925,recommendations,8.78,88.92MiB,7.654GiB,1.13
1735060925,teasers,14.12,96.86MiB,7.654GiB,1.24
1735060925,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060925,discovery,0.49,28.46MiB,7.654GiB,0.36
1735060927,monolith,105.00,3.595GiB,4GiB,89.88
1735060927,recommendations,14.82,90.24MiB,7.654GiB,1.15
1735060927,teasers,6.33,98.18MiB,7.654GiB,1.25
1735060927,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060927,discovery,1.38,28.19MiB,7.654GiB,0.36
1735060929,monolith,103.78,3.595GiB,4GiB,89.88
1735060929,recommendations,7.26,90.28MiB,7.654GiB,1.15
1735060929,teasers,5.97,97.59MiB,7.654GiB,1.25
1735060929,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060929,discovery,0.48,28.71MiB,7.654GiB,0.37
1735060931,monolith,106.01,3.596GiB,4GiB,89.90
1735060931,recommendations,7.42,90.32MiB,7.654GiB,1.15
1735060931,teasers,5.57,97.98MiB,7.654GiB,1.25
1735060931,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060931,discovery,0.45,28.42MiB,7.654GiB,0.36
1735060933,monolith,103.73,3.596GiB,4GiB,89.91
1735060933,recommendations,10.97,90.34MiB,7.654GiB,1.15
1735060933,teasers,5.12,98.12MiB,7.654GiB,1.25
1735060933,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060933,discovery,0.54,28.16MiB,7.654GiB,0.36
1735060935,monolith,106.44,3.598GiB,4GiB,89.94
1735060935,recommendations,6.10,91.11MiB,7.654GiB,1.16
1735060935,teasers,6.08,100.2MiB,7.654GiB,1.28
1735060935,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060935,discovery,0.53,28.68MiB,7.654GiB,0.37
1735060937,monolith,104.13,3.598GiB,4GiB,89.95
1735060937,recommendations,8.55,91.56MiB,7.654GiB,1.17
1735060937,teasers,7.27,100.7MiB,7.654GiB,1.28
1735060937,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060937,discovery,0.48,28.42MiB,7.654GiB,0.36
1735060939,monolith,105.00,3.599GiB,4GiB,89.98
1735060939,recommendations,3.97,91.36MiB,7.654GiB,1.17
1735060939,teasers,5.24,100.2MiB,7.654GiB,1.28
1735060939,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060939,discovery,0.48,28.11MiB,7.654GiB,0.36
1735060941,monolith,103.69,3.599GiB,4GiB,89.98
1735060941,recommendations,4.02,91.41MiB,7.654GiB,1.17
1735060941,teasers,3.61,100.3MiB,7.654GiB,1.28
1735060941,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060941,discovery,0.41,28.64MiB,7.654GiB,0.37
1735060943,monolith,104.31,3.6GiB,4GiB,90.00
1735060943,recommendations,4.21,91.39MiB,7.654GiB,1.17
1735060943,teasers,11.52,63.17MiB,7.654GiB,0.81
1735060943,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060943,discovery,0.53,28.34MiB,7.654GiB,0.36
1735060945,monolith,103.62,3.601GiB,4GiB,90.02
1735060945,recommendations,5.85,91.75MiB,7.654GiB,1.17
1735060945,teasers,6.42,69.55MiB,7.654GiB,0.89
1735060945,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060945,discovery,0.46,28.86MiB,7.654GiB,0.37
1735060947,monolith,105.11,3.602GiB,4GiB,90.05
1735060947,recommendations,4.04,91.47MiB,7.654GiB,1.17
1735060947,teasers,8.94,72.8MiB,7.654GiB,0.93
1735060947,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060947,discovery,0.53,28.57MiB,7.654GiB,0.36
1735060949,monolith,104.22,3.602GiB,4GiB,90.05
1735060949,recommendations,5.99,91.8MiB,7.654GiB,1.17
1735060949,teasers,8.96,79.03MiB,7.654GiB,1.01
1735060949,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060949,discovery,0.64,28.3MiB,7.654GiB,0.36
1735060951,monolith,103.53,3.602GiB,4GiB,90.06
1735060951,recommendations,4.62,91.99MiB,7.654GiB,1.17
1735060951,teasers,7.17,79.95MiB,7.654GiB,1.02
1735060951,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060951,discovery,0.40,28.82MiB,7.654GiB,0.37
1735060953,monolith,108.97,3.603GiB,4GiB,90.09
1735060953,recommendations,12.67,92.03MiB,7.654GiB,1.17
1735060953,teasers,13.99,84.24MiB,7.654GiB,1.07
1735060953,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060953,discovery,0.95,28.67MiB,7.654GiB,0.37
1735060955,monolith,107.32,3.604GiB,4GiB,90.09
1735060955,recommendations,8.10,91.96MiB,7.654GiB,1.17
1735060955,teasers,11.78,94.35MiB,7.654GiB,1.20
1735060955,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060955,discovery,0.73,28.74MiB,7.654GiB,0.37
1735060957,monolith,148.03,3.605GiB,4GiB,90.12
1735060957,recommendations,16.55,92.14MiB,7.654GiB,1.18
1735060957,teasers,23.08,97.64MiB,7.654GiB,1.25
1735060957,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060957,discovery,1.42,28.83MiB,7.654GiB,0.37
1735060959,monolith,126.63,3.606GiB,4GiB,90.14
1735060959,recommendations,13.69,92.16MiB,7.654GiB,1.18
1735060959,teasers,13.29,97.96MiB,7.654GiB,1.25
1735060959,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060959,discovery,0.89,28.14MiB,7.654GiB,0.36
1735060961,monolith,107.97,3.606GiB,4GiB,90.14
1735060961,recommendations,8.89,92.2MiB,7.654GiB,1.18
1735060961,teasers,11.65,98.68MiB,7.654GiB,1.26
1735060961,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060961,discovery,0.81,28.2MiB,7.654GiB,0.36
1735060963,monolith,106.72,3.607GiB,4GiB,90.17
1735060963,recommendations,8.58,92.18MiB,7.654GiB,1.18
1735060963,teasers,8.31,99.41MiB,7.654GiB,1.27
1735060963,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060963,discovery,0.84,28.5MiB,7.654GiB,0.36
1735060965,monolith,108.32,3.608GiB,4GiB,90.19
1735060965,recommendations,13.35,92.45MiB,7.654GiB,1.18
1735060965,teasers,12.24,99.52MiB,7.654GiB,1.27
1735060965,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060965,discovery,0.82,28.32MiB,7.654GiB,0.36
1735060967,monolith,110.29,3.608GiB,4GiB,90.19
1735060967,recommendations,10.96,92.45MiB,7.654GiB,1.18
1735060967,teasers,17.44,100.4MiB,7.654GiB,1.28
1735060967,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060967,discovery,1.25,28.4MiB,7.654GiB,0.36
