timestamp,name,cpu_percent,mem_usage,mem_limit,mem_percent
1735068491,teasers,6.69,88.8MiB,7.654GiB,1.13
1735068491,recommendations,9.43,90.23MiB,7.654GiB,1.15
1735068491,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068491,discovery,0.60,26.69MiB,7.654GiB,0.34
1735068496,monolith,105.97,2.82GiB,4GiB,70.50
1735068496,teasers,6.28,88.8MiB,7.654GiB,1.13
1735068496,recommendations,5.98,90.38MiB,7.654GiB,1.15
1735068496,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068496,discovery,0.66,26.31MiB,7.654GiB,0.34
1735068501,monolith,107.85,2.83GiB,4GiB,70.75
1735068501,teasers,5.34,89.12MiB,7.654GiB,1.14
1735068501,recommendations,7.52,90.46MiB,7.654GiB,1.15
1735068501,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068501,discovery,2.90,25.93MiB,7.654GiB,0.33
1735068506,monolith,108.66,2.848GiB,4GiB,71.19
1735068506,teasers,5.82,89.29MiB,7.654GiB,1.14
1735068506,recommendations,5.61,91.03MiB,7.654GiB,1.16
1735068506,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068506,discovery,0.63,25.92MiB,7.654GiB,0.33
1735068511,monolith,113.07,2.856GiB,4GiB,71.41
1735068511,teasers,6.05,89.4MiB,7.654GiB,1.14
1735068511,recommendations,5.06,90.77MiB,7.654GiB,1.16
1735068511,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068511,discovery,0.69,26MiB,7.654GiB,0.33
1735068516,monolith,105.85,2.863GiB,4GiB,71.57
1735068516,teasers,5.59,89.85MiB,7.654GiB,1.15
1735068516,recommendations,4.70,91.07MiB,7.654GiB,1.16
1735068516,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068516,discovery,1.36,26.06MiB,7.654GiB,0.33
1735068521,monolith,109.91,2.88GiB,4GiB,71.99
1735068521,teasers,6.30,90MiB,7.654GiB,1.15
1735068521,recommendations,5.16,90.93MiB,7.654GiB,1.16
1735068521,cdn,0.00,17.85MiB,7.654GiB,0.23
