idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"58","http://localhost:8080/","2024-12-10","16:30:33","6212","11225","1230.3999999985099","1138.7000000029802","368.70000000298023","42","5364.29999999702","1","92",""
"59","http://localhost:8080/","2024-12-10","16:30:45","6253","11271","1351.8000000044703","1151.8000000044703","369.1000000014901","17","5373.10000000149","1","67",""
"60","http://localhost:8080/","2024-12-10","16:30:56","6276","11291","1388","1138","368.70000000298023","18","5397.5","1","68",""
"61","http://localhost:8080/","2024-12-10","16:31:08","6217","11231","1299","1140.7000000029802","370","18","5338.70000000298","1","68",""
"62","http://localhost:8080/","2024-12-10","16:31:20","6235","11248","1227.6999999955297","1119.5","370","18","5360.79999999702","1","68",""
"63","http://localhost:8080/","2024-12-10","16:31:32","6185","11198","1221.1999999955297","1146.2999999970198","369.8999999985099","42","5339.5","1","92",""
"64","http://localhost:8080/","2024-12-10","16:31:44","6216","11227","1225.7000000029802","1117.3999999985099","369.30000000447035","43","5376.80000000447","1","93",""
"65","http://localhost:8080/","2024-12-10","16:31:56","6249","11261","1248.1000000014901","1139.7999999970198","377.5","44","5406.39999999851","1","94",""
"66","http://localhost:8080/","2024-12-10","16:32:07","6238","11249","1225.3999999985099","1117","369.69999999552965","43","5390.60000000149","1","93",""
"67","http://localhost:8080/","2024-12-10","16:32:19","6233","11245","1249.6999999955297","1124.6999999955297","370.59999999403954","18","5353.69999999553","1","68",""
"68","http://localhost:8080/","2024-12-10","16:32:31","6208","11219","1311.3999999985099","1153.1000000014901","369.79999999701977","19","5335.70000000298","1","69",""
"69","http://localhost:8080/","2024-12-10","16:32:43","6244","11255","1268.2999999970198","1151.6000000014901","371.29999999701977","42","5392.79999999702","1","92",""
"70","http://localhost:8080/","2024-12-10","16:32:55","6252","11263","1358.3999999985099","1133.5","371","18","5381.39999999851","1","68",""
"71","http://localhost:8080/","2024-12-10","16:33:07","6191","11203","1227.6000000014901","1135.8999999985099","369.70000000298023","17","5323.20000000298","1","67",""
"72","http://localhost:8080/","2024-12-10","16:33:18","6258","11270","1366","1141","370.20000000298023","43","5413.20000000298","1","93",""
"73","http://localhost:8080/","2024-12-10","16:33:30","6246","11257","1241.5999999940395","1149.8999999985099","370.8999999985099","18","5369.5","1","68",""
"74","http://localhost:8080/","2024-12-10","16:33:42","6230","11243","1221.8000000044703","1113.3999999985099","370.70000000298023","18","5354.60000000149","1","68",""
"75","http://localhost:8080/","2024-12-10","16:33:54","6237","11249","1236.2999999970198","1128","369.59999999403954","17","5360.79999999702","1","67",""
"76","http://localhost:8080/","2024-12-10","16:34:06","6260","11272","1235.7999999970198","1127.5","370.29999999701977","43","5408.70000000298","1","93",""
"77","http://localhost:8080/","2024-12-10","16:34:18","6229","11239","1303.1999999955297","1144.8999999985099","368.8999999985099","18","5354.10000000149","1","68",""
"78","http://localhost:8080/","2024-12-10","16:34:29","6243","11253","1345.7999999970198","1154.1999999955297","370.8999999985099","18","5368","1","68",""
"79","http://localhost:8080/","2024-12-10","16:34:41","6231","11244","1282","1132","369.6000000014901","42","5376.69999999553","1","92",""
"80","http://localhost:8080/","2024-12-10","16:34:53","6209","11221","1213.1999999955297","1129.8999999985099","369.69999999552965","43","5365.19999999553","1","93",""
"81","http://localhost:8080/","2024-12-10","16:35:05","6260","11271","1363","1146.3999999985099","368.8999999985099","43","5411.29999999702","1","93",""
"82","http://localhost:8080/","2024-12-10","16:35:17","6143","11154","1173.8000000044703","1098.8000000044703","354.20000000298023","44","5301.9000000059605","1","94",""
"83","http://localhost:8080/","2024-12-10","16:35:29","6178","11190","1226.4000000059605","1118.1000000014901","362","19","5311","1","69",""
"84","http://localhost:8080/","2024-12-10","16:35:40","6179","11190","1240.1000000014901","1115.1000000014901","362.19999999552965","42","5340.10000000149","1","92",""
"85","http://localhost:8080/","2024-12-10","16:35:52","6193","11205","1237.8999999985099","1121.2999999970198","362.29999999701977","20","5324.89999999851","1","70",""
"86","http://localhost:8080/","2024-12-10","16:36:04","6156","11168","1200.3999999985099","1117.1000000014901","362.70000000298023","45","5315.10000000149","1","95",""
"87","http://localhost:8080/","2024-12-10","16:36:16","6185","11196","1204.8999999985099","1113.2000000029802","361.29999999701977","20","5314.5","1","70",""
