idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"175","http://localhost:8080/","2024-12-11","15:27:17","1346","8819","4584.599999997765","1101.2999999970198","340.79999999701977","39","3795.7999999970198","1","89",""
"176","http://localhost:8080/","2024-12-11","15:27:26","1323","8857","4598.300000000745","1081.6000000014901","340.1000000014901","38","3809.89999999851","1","88",""
"177","http://localhost:8080/","2024-12-11","15:27:36","1314","8811","4589.900000002235","1073.199999999255","340.1000000014901","39","3786.60000000149","1","89",""
"178","http://localhost:8080/","2024-12-11","15:27:45","1345","8844","4619.10000000149","1119.1000000014901","346.80000000074506","37","3819.7000000029802","1","87",""
"179","http://localhost:8080/","2024-12-11","15:27:55","1360","8850","4615.39999999851","1115.3999999985099","339.80000000074506","38","3826.199999999255","1","88",""
"180","http://localhost:8080/","2024-12-11","15:28:05","1324","8855","4591","1090.8999999985099","340.5999999977648","37","3808.5","1","87",""
"181","http://localhost:8080/","2024-12-11","15:28:14","1338","8849","4609","1092.4000000022352","339.80000000074506","38","3803.10000000149","1","88",""
"182","http://localhost:8080/","2024-12-11","15:28:24","1318","8841","4583.29999999702","1083.2999999970198","333.19999999925494","37","3793.39999999851","1","87",""
"183","http://localhost:8080/","2024-12-11","15:28:33","1317","8816","4597.699999999255","1081","332.79999999701977","38","3789.599999997765","1","88",""
"184","http://localhost:8080/","2024-12-11","15:28:43","1308","8802","4571.39999999851","1071.3999999985099","339.79999999701977","38","3777.699999999255","1","88",""
"185","http://localhost:8080/","2024-12-11","15:28:52","1332","8826","4580.900000002235","1097.6000000014901","341.6000000014901","38","3800.5","1","88",""
"186","http://localhost:8080/","2024-12-11","15:29:02","1311","8838","4595","1078.300000000745","342.5","38","3791.699999999255","1","88",""
"187","http://localhost:8080/","2024-12-11","15:29:11","1338","8872","4617.79999999702","1117.7999999970198","332.8999999985099","38","3825.89999999851","1","88",""
"188","http://localhost:8080/","2024-12-11","15:29:21","1334","8836","4617.800000000745","1101","341.8999999985099","40","3811.699999999255","1","90",""
"189","http://localhost:8080/","2024-12-11","15:29:30","1351","8845","4619.900000002235","1119.9000000022352","340.30000000074506","39","3821.300000000745","1","89",""
"190","http://localhost:8080/","2024-12-11","15:29:40","1333","8831","4612.60000000149","1095.8999999985099","340.69999999925494","40","3807.10000000149","1","90",""
"191","http://localhost:8080/","2024-12-11","15:29:49","1316","8847","4608","1091.3999999985099","332.5","37","3800.800000000745","1","87",""
"192","http://localhost:8080/","2024-12-11","15:29:59","1362","8854","4629.89999999851","1113.300000000745","342.19999999925494","43","3829.5","1","93",""
"193","http://localhost:8080/","2024-12-11","15:30:08","1316","8833","4583.800000000745","1083.800000000745","332.70000000298023","40","3786.5","1","90",""
"194","http://localhost:8080/","2024-12-11","15:30:18","1308","8792","4559.5","1076.199999999255","333","43","3766.60000000149","1","93",""
"195","http://localhost:8080/","2024-12-11","15:30:27","1337","8869","4611.900000002235","1111.9000000022352","325.80000000074506","41","3822.300000000745","1","91",""
"196","http://localhost:8080/","2024-12-11","15:30:37","1317","8814","4579.79999999702","1079.8999999985099","333.29999999701977","39","3788","1","89",""
"197","http://localhost:8080/","2024-12-11","15:30:46","1325","8822","4583.89999999851","1100.5999999977648","328.29999999701977","41","3797.89999999851","1","91",""
"198","http://localhost:8080/","2024-12-11","15:30:56","1290","8807","4542.800000000745","1059.5","328.1000000014901","41","3760.800000000745","1","91",""
"199","http://localhost:8080/","2024-12-11","15:31:05","1302","8807","4564.29999999702","1080.8999999985099","327.8999999985099","41","3782.2999999970198","1","91",""
"200","http://localhost:8080/","2024-12-11","15:31:15","1315","8814","4582.300000000745","1082.4000000022352","325.30000000074506","42","3790.10000000149","1","92",""
"201","http://localhost:8080/","2024-12-11","15:31:24","1324","8841","4583","1099.7000000029802","325.80000000074506","42","3793.60000000149","1","92",""
"202","http://localhost:8080/","2024-12-11","15:31:34","1316","8798","4576.39999999851","1092.8999999985099","332.8999999985099","42","3772.89999999851","1","92",""
"203","http://localhost:8080/","2024-12-11","15:31:43","1331","8846","4574.800000000745","1091.4000000022352","325.70000000298023","40","3798.10000000149","1","90",""
"204","http://localhost:8080/","2024-12-11","15:31:53","1312","8807","4570.199999999255","1086.800000000745","328.5999999977648","43","3781.199999999255","1","93",""
"205","http://localhost:8080/","2024-12-11","15:32:02","1282","8793","4549.699999999255","1049.699999999255","328.30000000074506","42","3768.89999999851","1","92",""
"206","http://localhost:8080/","2024-12-11","15:32:12","1336","8859","4601.199999999255","1101.199999999255","330.5999999977648","40","3812.599999997765","1","90",""
"207","http://localhost:8080/","2024-12-11","15:32:21","1302","8801","4557.10000000149","1073.7000000029802","332.6000000014901","41","3775.10000000149","1","91",""
"208","http://localhost:8080/","2024-12-11","15:32:31","1301","8800","4569.10000000149","1069","332.70000000298023","41","3774.5","1","91",""
"209","http://localhost:8080/","2024-12-11","15:32:40","1281","8787","4546.400000002235","1046.4000000022352","333.1000000014901","42","3760.5","1","92",""
"210","http://localhost:8080/","2024-12-11","15:32:50","1294","8793","4562.300000000745","1062.300000000745","332.5","41","3767.300000000745","1","91",""
"211","http://localhost:8080/","2024-12-11","15:32:59","1303","8791","4550.599999997765","1067.199999999255","325.5999999977648","42","3767.699999999255","1","92",""
"212","http://localhost:8080/","2024-12-11","15:33:09","1301","8824","4556.89999999851","1073.5999999977648","332.79999999701977","39","3777.5","1","89",""
"213","http://localhost:8080/","2024-12-11","15:33:18","1287","8776","4527.599999997765","1060.8999999985099","332.30000000074506","40","3751.199999999255","1","90",""
"214","http://localhost:8080/","2024-12-11","15:33:28","1308","8794","4577.29999999702","1077.2999999970198","339.8999999985099","40","3770.5","1","90",""
